date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:40:45	887465/887465	---M-Z	200	added ('OK')	text/html	etag:%22d6cd8ad046fabf4da486952475bcfc7b%22	https://clonify-knots-kit.framer.website/headers	Y:/website/rm/clonify-knots-kit.framer.website/headers.html	(from )
00:40:45	110/110	---M-Z	200	added ('OK')	text/plain	etag:%2248413fd459f39cac785cb5850429d551%22	https://clonify-knots-kit.framer.website/robots.txt		(from )
00:40:46	417/417	---MC-	200	added ('OK')	image/png	etag:%22aaa5af4c8df3b4ee81c296187f0a01ae%22	https://framerusercontent.com/images/DP3KPhVEoyEbOLRi1zLKPRix88.png	Y:/website/rm/framerusercontent.com/images/DP3KPhVEoyEbOLRi1zLKPRix88.png	(from https://clonify-knots-kit.framer.website/headers)
00:40:46	410/410	---MC-	200	added ('OK')	image/png	etag:%228f13408c42b03483a77d4dd9ba9a2861%22	https://framerusercontent.com/images/SbtDUzL42V1lddg4lw5RbSnd1mo.png	Y:/website/rm/framerusercontent.com/images/SbtDUzL42V1lddg4lw5RbSnd1mo.png	(from https://clonify-knots-kit.framer.website/headers)
00:40:46	808/808	---MC-	200	added ('OK')	image/png	etag:%226dc7f38729ef0ee7b88e6b672a298aad%22	https://framerusercontent.com/images/5NyumfYLLHneCh5i5oeN48n4L0.png	Y:/website/rm/framerusercontent.com/images/5NyumfYLLHneCh5i5oeN48n4L0.png	(from https://clonify-knots-kit.framer.website/headers)
00:40:46	171808/171808	---M--	200	added ('OK')	image/jpeg	etag:%22b16c6f538c56e8c3768ca7fc7121a254%22	https://framerusercontent.com/assets/d4REmphPks3rJzazR6q2tZ8bnw.jpg	Y:/website/rm/framerusercontent.com/assets/d4REmphPks3rJzazR6q2tZ8bnw.jpg	(from https://clonify-knots-kit.framer.website/headers)
00:40:47	101726/101726	---M-Z	200	added ('OK')	text/html	etag:%2244aa7aa682fcb2d6afe45c963533f33f%22	https://clonify-knots-kit.framer.website/	Y:/website/rm/clonify-knots-kit.framer.website/index.html	(from https://clonify-knots-kit.framer.website/headers)
00:40:51	1984575/1984575	---MC-	200	added ('OK')	image/png	etag:%221e7d3e6faee6aabc5d07a2ceba81c24f%22	https://framerusercontent.com/images/JaOgyyFnKRuMIuUYvAKnjHCVLEM.png	Y:/website/rm/framerusercontent.com/images/JaOgyyFnKRuMIuUYvAKnjHCVLEM.png	(from https://clonify-knots-kit.framer.website/headers)
00:40:53	1104681/1104681	---MC-	200	added ('OK')	image/png	etag:%22b01c0a5b971c3697766b305a966e2a4b%22	https://framerusercontent.com/images/ReB8XkhZuxQ63Irck8BHupEoDc4.png	Y:/website/rm/framerusercontent.com/images/ReB8XkhZuxQ63Irck8BHupEoDc4.png	(from https://clonify-knots-kit.framer.website/headers)
00:40:54	384680/384680	---MC-	200	added ('OK')	image/png	etag:%22acc27f1450b25a7e05c269b33c4c4ef5%22	https://framerusercontent.com/images/88tQOVodNOTKVfTGGkTCwcCqM.png	Y:/website/rm/framerusercontent.com/images/88tQOVodNOTKVfTGGkTCwcCqM.png	(from https://clonify-knots-kit.framer.website/headers)
00:41:03	2393770/2393770	---MC-	200	added ('OK')	image/png	etag:%225a3f695ec9d8adaf6f0323734d991efd%22	https://framerusercontent.com/images/8uyaLGwMuTYnCX17mwzUdaQg.png	Y:/website/rm/framerusercontent.com/images/8uyaLGwMuTYnCX17mwzUdaQg.png	(from https://clonify-knots-kit.framer.website/headers)
00:41:06	476869/476869	---MC-	200	added ('OK')	image/png	etag:%22b06868acb5bf0c9c831cc7b76dc41069%22	https://framerusercontent.com/images/89xqr9irlk7P45Gv4GHNw3PagHs.png	Y:/website/rm/framerusercontent.com/images/89xqr9irlk7P45Gv4GHNw3PagHs.png	(from https://clonify-knots-kit.framer.website/headers)
00:41:06	5516/5516	---MC-	200	added ('OK')	image/png	etag:%2211f2c488c0d9bb1b1b4a0e4f49cfdd12%22	https://framerusercontent.com/images/NNSGhSQZlNKpwj2rjFPtv60M.png	Y:/website/rm/framerusercontent.com/images/NNSGhSQZlNKpwj2rjFPtv60M.png	(from https://clonify-knots-kit.framer.website/headers)
00:41:06	16775/16775	---MC-	200	added ('OK')	image/png	etag:%226a4c995a1b5bef0f22432f19e18fe4cb%22	https://framerusercontent.com/images/knmkshC4wESLxCgYbItsg1VTQ.png	Y:/website/rm/framerusercontent.com/images/knmkshC4wESLxCgYbItsg1VTQ.png	(from https://clonify-knots-kit.framer.website/headers)
00:41:07	22410/22410	---MC-	200	added ('OK')	image/png	etag:%22bf4ae67ae46b5b3ff1d2e0e1b8371b23%22	https://framerusercontent.com/images/swxJjiopo2SC0vXqtJcXjQgY.png	Y:/website/rm/framerusercontent.com/images/swxJjiopo2SC0vXqtJcXjQgY.png	(from https://clonify-knots-kit.framer.website/headers)
00:41:11	2573170/2573170	---MC-	200	added ('OK')	image/png	etag:%22524d4774655731798e58844ef8ee10ef%22	https://framerusercontent.com/images/AajfX4JOthETV1OAEX5762lApNw.png	Y:/website/rm/framerusercontent.com/images/AajfX4JOthETV1OAEX5762lApNw.png	(from https://clonify-knots-kit.framer.website/headers)
00:41:17	1431834/1431834	---MC-	200	added ('OK')	image/png	etag:%22779c593581d13070174c3fcdef4bfb79%22	https://framerusercontent.com/images/EZNVq8AlIXjcDN5laTT5tDxAsk.png	Y:/website/rm/framerusercontent.com/images/EZNVq8AlIXjcDN5laTT5tDxAsk.png	(from https://clonify-knots-kit.framer.website/headers)
00:41:19	571757/571757	---MC-	200	added ('OK')	image/png	etag:%22bca4961357990061e0a9ccf845615bde%22	https://framerusercontent.com/images/PzsQRD5jkd8uBxp43HVVkWAY.png	Y:/website/rm/framerusercontent.com/images/PzsQRD5jkd8uBxp43HVVkWAY.png	(from https://clonify-knots-kit.framer.website/headers)
00:41:20	206990/206990	---MC-	200	added ('OK')	image/png	etag:%22b17aba962b6b9ef85ba85027e0a46be4%22	https://framerusercontent.com/images/irgJvCcKzfCXVDHpIqwpfrdGeA.png	Y:/website/rm/framerusercontent.com/images/irgJvCcKzfCXVDHpIqwpfrdGeA.png	(from https://clonify-knots-kit.framer.website/headers)
00:41:33	3693240/3693240	---MC-	200	added ('OK')	image/png	etag:%22b8c6f26b1f030f8486948ffc6521feae%22	https://framerusercontent.com/images/FLSM35IssJdWRmnQmx3y5P6gJ6k.png	Y:/website/rm/framerusercontent.com/images/FLSM35IssJdWRmnQmx3y5P6gJ6k.png	(from https://clonify-knots-kit.framer.website/headers)
